kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00258.01,FALSE POSITIVE,4.157451,172.498160,5.227000,1097.000000,0.000000,0.025000,11231334
K00259.01,FALSE POSITIVE,79.996223,207.125560,6.628500,23766.000000,0.000000,0.541000,5790807
K00260.01,CONFIRMED,10.495702,172.790400,5.033600,114.000000,0.000000,0.867100,8292840
K00260.02,CONFIRMED,100.283400,245.041300,11.537500,362.000000,0.000000,0.849100,8292840
K00260.03,CONFIRMED,21.869640,140.294400,5.765900,123.000000,0.000000,0.897500,8292840
K00261.01,CONFIRMED,16.238465,171.019150,3.855100,652.000000,0.000000,0.490000,5383248
K00262.01,CONFIRMED,7.812512,172.631900,4.243900,100.000000,0.000000,0.895000,11807274
K00262.02,CONFIRMED,9.376137,136.968600,2.602200,124.000000,0.000000,0.976800,11807274
K00263.01,FALSE POSITIVE,20.719360,184.733400,4.232100,150.000000,0.000000,0.888000,10514430
K00264.01,FALSE POSITIVE,4.029827,170.687290,3.217000,158.000000,0.000000,0.011000,3097346
K00265.01,CANDIDATE,3.568065,169.746800,3.431000,96.000000,0.000000,0.816000,12024120
K00266.01,CANDIDATE,25.308897,171.506000,5.726500,161.000000,0.000000,0.870000,7375348
K00266.02,CANDIDATE,47.743481,160.163350,2.443000,105.210000,0.027000,0.380000,7375348
K00267.01,FALSE POSITIVE,165.744100,207.326000,9.865200,72.000000,0.000000,0.000000,8167959
K00268.01,CANDIDATE,110.379080,175.928100,12.249400,496.000000,0.000000,0.014000,3425851
K00269.01,CANDIDATE,18.011340,185.099400,6.530900,112.000000,0.000000,0.811000,7670943
K00270.01,CANDIDATE,12.582500,175.015200,6.446200,125.000000,0.000000,0.789000,6528464
K00270.02,CANDIDATE,33.673120,162.039600,8.658900,171.000000,0.000000,0.806000,6528464
